HELI_IDENT	SEQ_NBR	LENGTH	WIDTH	SURFACE	AC_TYPE	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	LGT_SYS_1	LGT_SYS_2	LGT_SYS_3	HIGH_IDENT	HIGH_HDG	HE_WGS_LAT	HE_WGS_DLAT	HE_WGS_LONG	HE_WGS_DLONG	HE_ELEV	HE_SLOPE	HLGT_SYS_1	HLGT_SYS_2	HLGT_SYS_3	LOW_IDENT	LOW_HDG	LE_WGS_LAT	LE_WGS_DLAT	LE_WGS_LONG	LE_WGS_DLONG	LE_ELEV	LE_SLOPE	LLGT_SYS_1	LLGT_SYS_2	LLGT_SYS_3	HIGH_TRUE	LOW_TRUE	CLD_RWY	PAD_ID	CYCLE_DATE
KS99925	50	00026	00024	CON	UH1		37.405556		127.952500							37.405556		127.952500	210.0	U							37.405556		127.952500										200409
KS99927	51	00090		GRS	UH1		38.216670		127.966700							38.216670		127.966700	U	U							38.216670		127.966700										200205
KS99927	52	00090		GRS	UH1		38.216670		127.966700							38.216670		127.966700	U	U							38.216670		127.966700										200205
KS99927	50	00150		GRS	CH47		38.216670		127.966700							38.216670		127.966700	U	U							38.216670		127.966700										200205
KS99928	50	00050	00050	CON	UH1		37.316669		127.966700							37.316669		127.966700	580.0	U							37.316669		127.966700										200409
KS99932	50	00029	00020	CON	UH1		38.115000		128.196667	55						38.115000		128.196667	810.0	U							38.115000		128.196667										200409
KS99933	50	00050	00025	CON	CH47		38.416670		128.450000							38.416670		128.450000	28.0	U							38.416670		128.450000										200410
KS99934	50	00020	00020	CON	CH47		37.283331		127.966700							37.283331		127.966700	590.0	U							37.283331		127.966700										200410
KS99935	50	00030	00030	CON	UH1		37.403739		127.952500							37.403739		127.952500	320.0	U							37.403739		127.952500										200502
KS99936	50	00040	00040	GRS	UH1		36.563110		127.281500							36.563110		127.281500	165.0	U							36.563110		127.281500										200205
KS99938	50	00120	00120	GRE	CH47		36.800000		127.550000							36.800000		127.550000	175.0	U							36.800000		127.550000										200410
KS99939	50	00100	00050	CON	CH47		36.852778		127.564444	53						36.852778		127.564444	550.0	U							36.852778		127.564444										200410
KS99941	50	00100	00050	CON	CH47		37.283330		127.633300							37.283330		127.633300	958.0	U							37.283330		127.633300										200410
KS99942	50	00100	00050	CON	CH47		36.783330		126.300000	54						36.783330		126.300000	129.0	U							36.783330		126.300000										200209
KS99944	50	00099	00082	CON	CH47		36.950000		126.566700	55						36.950000		126.566700	100.0	U							36.950000		126.566700										200209
KS99945	50	00098	00052	CON	CH47		37.066670		127.183300							37.066670		127.183300	650.0	U							37.066670		127.183300										200205
KS99946	50	00075	00060	CON	CH47		37.200000		126.850000							37.200000		126.850000	540.0	U							37.200000		126.850000										200205
KS99947	50	00082	00082	CON	CH47		36.133340		126.566700	55						36.133340		126.566700	120.0	U							36.133340		126.566700										200209
KS99948	50	00075	00075	GVL	CH47		36.850000		127.233300							36.850000		127.233300	1817.0	U							36.850000		127.233300										200211
KS99949	50	00100	00100	CON	CH47		36.316669		126.533300	55						36.316669		126.533300	25.0	U							36.316669		126.533300										200209
KS99952	50	00070	00070	ASP	UH60		37.202778		127.464444							37.202778		127.464444	281.0	U							37.202778		127.464444										200211
KS99953	50	00065	00065	CON	UH1		36.362031		127.382600							36.362031		127.382600	121.0	U							36.362031		127.382600										200212
KS99953	51	00065	00065	CON	UH1		36.362031		127.382600							36.362031		127.382600	190.0	U							36.362031		127.382600										200211
KS99953	52	00065	00065	CON	UH1		36.362031		127.382600							36.362031		127.382600	190.0	U							36.362031		127.382600										200211
KS99953	53	00065	00065	CON	UH1		36.362031		127.382600							36.362031		127.382600	190.0	U							36.362031		127.382600										200211
