ARPT_IDENT	NAME	STATE_PROV	ICAO	FAA_HOST_ID	LOC_HDATUM	WGS_DATUM	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	ELEV	TYPE	MAG_VAR	WAC	BEACON	SECOND_ARPT	OPR_AGY	SEC_NAME	SEC_ICAO	SEC_FAA	SEC_OPR_AGY	CYCLE_DATE
GM00424	WESTERLAND SYLT		EDXW	N	WGE	WGE	N54544770	54.913250	E008202570	8.340472	00051	A	E000189 0105	0170			CI					200506
GM00847	KOBLENZ WINNINGEN		EDRK	N	WGE	WGE	N50193180	50.325500	E007314320	7.528667	00640	D	E000193 0105	0231	Y		CI					200413
GM01853	FRANKFURT MAIN		EDDF	N	WGE	WGE	N50013512	50.026422	E008323525	8.543125	00364	B	E000387 0105	0231	Y		ML					200507
GM02759	HOLZDORF		ETSH	N	WGE	WGE	N51460420	51.767833	E013100360	13.167667	00265	C	E001588 0105	0231	Y		GF					200502
GM02973	HANAU AAF		ETID	N	WGE	WGE	N50100908	50.169189	E008574171	8.961586	00368	C	E000458 0105	0231	Y		AA					200504
GM03600	TEMPELHOF		EDDI	N	WGE	WGE	N52282289	52.473025	E013241420	13.403944	00167	A	E002037 0105	0169	Y		CI					200508
GM07916	MEINERZHAGEN		EDKZ	N	WGE	WGE	N51055800	51.099444	E007360700	7.601944	01548	D	E000179 0105	0231	Y		PV					200408
GM08994	FASSBERG		ETHS	N	WGE	WGE	N52550986	52.919406	E010115110	10.197528	00245	C	E001030 0105	0170	Y		GM					200506
GM09439	BREMERHAVEN		EDWB	N	WGE	WGE	N53302549	53.507081	E008342236	8.572878	00011	A	E000288 0105	0170	Y		CI					200508
GM09482	KIEL HOLTENAU		EDHK	N	WGE	WGE	N54224620	54.379500	E010084260	10.145167	00101	A	E000591 0105	0170	Y		CI					200503
GM10062	NIEDERSTETTEN		ETHN	N	WGE	WGE	N49233060	49.391833	E009572940	9.958167	01536	C	E001046 0105	0231	Y		GM					200504
GM10371	TEMPLIN		EDUT	N	WGE	WGE	N53014379	53.028831	E013305850	13.516250	00202	D	E002063 0105	0169			PV					200410
GM11285	HERINGSDORF		EDAH	N	WGE	WGE	N53524334	53.878706	E014090845	14.152347	00093	A	E002196 0105	0169	Y		CI					200508
GM12112	SCHLESWIG		ETNS	N	WGE	WGE	N54273360	54.459333	E009305880	9.516333	00070	C	E000457 0105	0170	Y		GF					200412
GM12423	STRAUSBERG		EDAY	N	WGE	WGE	N52344792	52.579978	E013545646	13.915683	00263	D	E002131 0105	0169	Y		CI					200506
GM12493	LEIPZIG HALLE		EDDP	N	WGE	WGE	N51252637	51.423992	E012141098	12.236383	00465	A	E001446 0505	0231	Y		CI					200507
GM13386	ROTHENBURG GORLITZ		EDBR	N	WGE	WGE	N51214740	51.363167	E014570000	14.950000	00517	D	E002289 0105	0231	Y		CI					200508
GM13747	TRIER FOHREN		EDRT	N	WGE	WGE	N49514801	49.863336	E006472000	6.788889	00665	D	E000073 0105	0230			ML					200503
GM18225	BREMEN		EDDW	N	WGE	WGE	N53025100	53.047500	E008471200	8.786667	00014	A	E000346 0105	0170	Y		CI					200508
GM18318	BAUTZEN		EDAB	N	WGE	WGE	N51113671	51.193531	E014311109	14.519747	00568	D	E002213 0105	0231	Y		CI					200502
GM19072	LAUPHEIM		ETHL	N	WGE	WGE	N48131307	48.220297	E009543607	9.910019	01766	C	E001054 0105	0231	Y		GM					200404
GM21133	BAYREUTH		EDQD	N	WGE	WGE	N49590394	49.984428	E011381885	11.638569	01601	A	E001322 0105	0231	Y		CI					200507
GM22035	OBERPFAFFENHOFEN		EDMO	N	WGE	WGE	N48045291	48.081364	E011165904	11.283067	01947	A	E001272 0105	0231	Y		PV					200410
GM22052	ERDING		ETSE	N	WGE	WGE	N48192040	48.322333	E011565520	11.948667	01515	C	E001402 0605	0231	Y		GF					200507
GM23184	HOF PLAUEN		EDQM	N	WGE	WGE	N50171981	50.288836	E011511771	11.854919	01960	A	E001358 0105	0231	Y		CI					200508
GM23911	LECHFELD		ETSL	N	WGE	WGE	N48110780	48.185500	E010514020	10.861167	01822	C	E001206 0105	0231	Y		GF					200413
GM24487	BRANDIS WALDPOLENZ		EDBN	N	WGE	WGE	N51194138	51.328161	E012392495	12.656931	00535	D	E001529 0605	0231			CI					200508
GM26015	MONCHENGLADBACH		EDLN	N	WGE	WGE	N51134928	51.230356	E006301618	6.504494	00125	A	W000038 0105	0230	Y		CI					200405
GM26852	NEUHAUSEN OB ECK		EDSN	N	WGE	WGE	N47583565	47.976569	E008541415	8.903931	02648	D	E000495 0105	0253			PV					200502
GM29186	ALTENBURG NOBITZ		EDAC	N	WGE	WGE	N50585454	50.981817	E012302290	12.506361	00640	A	E001469 0105	0231	Y		CI					200507
GM29555	GEILENKIRCHEN		ETNG	N	WGE	WGE	N50573894	50.960817	E006023272	6.042422	00296	C	W000091 0505	0230	Y		NR					200506
GM30403	BRAUNSCHWEIG		EDVE	N	WGE	WGE	N52190900	52.319167	E010332200	10.556111	00295	A	E001109 0105	0170	Y		CI					200409
GM30844	TEGEL		EDDT	N	WGE	WGE	N52333487	52.559686	E013171576	13.287711	00122	A	E002017 0105	0169	Y		CI					200508
GM30895	RAMSTEIN AB		ETAR	N	WGE	WGE	N49261288	49.436911	E007360102	7.600283	00782	C	E000271 0705	0231	Y		AF					200508
GM31029	NEUBRANDENBURG		ETNU	N	WGE	WGE	N53360780	53.602167	E013182160	13.306000	00228	B	E002029 0105	0169	Y		GF					200412
GM34101	RIESA GOHLIS		EDAU	N	WGE	WGE	N51173660	51.293500	E013212160	13.356000	00322	D	E002017 0105	0231	Y		CI					200405
GM34171	KOLN BONN		EDDK	N	WGE	WGE	N50515730	50.865917	E007083388	7.142744	00302	B	E000100 0105	0231	Y		ML					200503
GM34188	BUCHEL		ETSB	N	WGE	WGE	N50102580	50.173833	E007034800	7.063333	01568	C	E000112 0105	0231	Y		GF					200506
GM34271	LAHR		EDTL	N	WGE	WGE	N48220930	48.369250	E007493980	7.827722	00511	D	E000307 0105	0231	Y		CI					200502
GM35258	FINSTERWALDE SCHACKSDORF		EDUS	N	WGE	WGE	N51362700	51.607500	E013441680	13.738000	00399	D	E002087 0105	0231			PV					200507
GM36245	LANDSBERG LECH		ETSA	N	WGE	WGE	N48041407	48.070575	E010542158	10.905994	02044	C	E001214 0105	0231	Y		GF					200406
GM36340	LUBECK BLANKENSEE		EDHL	N	WGE	WGE	N53481932	53.805367	E010430920	10.719222	00053	A	E001119 0105	0170	Y		CI					200508
GM36635	LEUTKIRCH UNTERZEIL		EDNL	N	WGE	WGE	N47513282	47.859117	E010005246	10.014572	02099	A	E001075 0105	0253	Y		CI					200504
GM37961	MERSEBURG		EDAM	N	WGE	WGE	N51214680	51.363000	E011562700	11.940833	00340	D	E001371 0105	0231			PV					200507
GM38012	PADERBORN LIPPSTADT		EDLP	N	WGE	WGE	N51365072	51.614089	E008365874	8.616317	00699	A	E000356 0105	0231	Y		CI					200505
GM38555	NEUBURG		ETSN	N	WGE	WGE	N48423960	48.711000	E011124140	11.211500	01249	A	E001276 0405	0231	Y		GF					200505
GM38712	KITZINGEN AAF		ETIN	N	WGE	WGE	N49443501	49.743058	E010120200	10.200556	00689	C	E001082 0105	0231	Y		AA					200404
GM38792	MUNSTER OSNABRUCK		EDDG	N	WGE	WGE	N52080471	52.134642	E007410539	7.684831	00160	A	E000157 0105	0170	Y		CI					200506
GM40032	FRITZLAR		ETHF	N	WGE	WGE	N51065220	51.114500	E009170900	9.285833	00566	C	E000494 0105	0231	Y		GM					200503
GM43413	SPEYER		EDRY	N	WGE	WGE	N49180999	49.302775	E008270430	8.451194	00312	A	E000390 0105	0231	Y		CI					200508
GM43621	WIESBADEN AAF		ETOU	N	WGE	WGE	N50025935	50.049819	E008193143	8.325397	00461	C	E000347 0105	0231	Y		AA					200503
GM45171	FINOW		EDAV	N	WGE	WGE	N52493780	52.827167	E013413660	13.693500	00121	A	E002094 0105	0169	Y		CI					200505
GM46072	ARNSBERG MENDEN		EDLA	N	WGE	WGE	N51290000	51.483333	E007535760	7.899333	00794	D	E000222 0105	0231	Y		CI					200407
GM46270	ALLSTEDT		EDBT	N	WGE	WGE	N51224980	51.380500	E011264800	11.446667	00932	D	E001282 0105	0231			PV					200411
GM48230	WILHELMSHAVEN MARIENSIEL		EDWI	N	WGE	WGE	N53301740	53.504833	E008031200	8.053333	00016	A	E000180 0105	0170	Y		CI					200409
GM50759	HOPSTEN		ETNP	N	WGE	WGE	N52201920	52.338667	E007322880	7.541333	00129	C	E000120 0105	0170	Y		GF					200411
GM51777	SAARBRUCKEN		EDDR	N	WGE	WGE	N49125239	49.214553	E007063423	7.109508	01058	A	E000155 0105	0231	Y		CI					200409
GM51956	DUSSELDORF		EDDL	N	WGE	WGE	N51172203	51.289453	E006460039	6.766775	00147	A	E000016 0105	0230	Y		CI					200504
GM55218	STENDAL BORSTEL		EDOV	N	WGE	WGE	N52374380	52.628833	E011491200	11.820000	00184	D	E001345 0105	0170	Y		CI					200507
GM57312	KASSEL CALDEN		EDVK	N	WGE	WGE	N51243022	51.408394	E009223947	9.377631	00908	A	E000504 0105	0231	Y		CI					200504
GM57501	AALEN HEIDENHEIM ELCHINGEN		EDPA	N	WGE	WGE	N48464020	48.777833	E010155280	10.264667	01916	D	E001105 0105	0231	Y		CI					200410
GM57849	BURG FEUERSTEIN		EDQE	N	WGE	WGE	N49473780	49.793833	E011075940	11.133167	01674	D	E001239 0105	0231			CI					200311
GM58179	RECHLIN LARZ		EDAX	N	WGE	WGE	N53182310	53.306417	E012451130	12.753139	00220	D	E001521 0105	0169	Y		CI					200503
GM58399	GROSSENHAIN		EDAK	N	WGE	WGE	N51182919	51.308108	E013331790	13.554972	00417	D	E002052 0105	0231	Y		CI					200405
GM58712	DAHLEMER BINZ		EDKV	N	WGE	WGE	N50242120	50.405889	E006314110	6.528083	01896	D	E000002 0105	0230			CI					200507
GM59875	TUTOW		EDUW	N	WGE	WGE	N53551920	53.922000	E013130780	13.218833	00023	D	E002015 0105	0169			CI					200505
GM60209	BUCKEBURG		ETHB	N	WGE	WGE	N52164260	52.278500	E009045580	9.082167	00230	C	E000427 0105	0170	Y		GM					200501
GM61211	DRESDEN		EDDC	N	WGE	WGE	N51075796	51.132767	E013460178	13.767161	00755	A	E002085 0105	0231	Y		CI					200507
GM61269	MUNCHEN		EDDM	N	WGE	WGE	N48211362	48.353783	E011470991	11.786086	01487	A	E001350 0105	0231	Y		CI					200506
GM61279	STUTTGART		EDDS	N	WGE	WGE	N48412356	48.689878	E009131907	9.221964	01276	B	E000534 0105	0231	Y		AA					200501
GM61499	ALLGAU		EDJA	N	WGE	WGE	N47591953	47.988758	E010142220	10.239500	02064	D	E001110 0105	0253	Y		CI					200413
GM64353	NORVENICH		ETNN	N	WGE	WGE	N50495220	50.831167	E006392940	6.658167	00386	C	E000009 0105	0230	Y		GF					200412
GM64671	HANNOVER		EDDV	N	WGE	WGE	N52273980	52.461056	E009410628	9.685078	00183	A	E000539 0105	0170	Y		CI					200502
GM65039	ESSEN MULHEIM		EDLE	N	WGE	WGE	N51240840	51.402333	E006561440	6.937333	00424	A	E000039 0105	0230	Y		CI					200502
GM65224	FALKENBERG LONNEWITZ		EDUF	N	WGE	WGE	N51325220	51.547833	E013134140	13.228167	00284	D	E001597 0105	0231			PV					200407
GM66834	ZWEIBRUCKEN		EDRZ	N	WGE	WGE	N49123429	49.209525	E007240233	7.400647	01133	A	E000207 0105	0231	Y		CI					200506
GM67268	SIEGERLAND		EDGS	N	WGE	WGE	N50422757	50.707658	E008045869	8.082969	01966	A	E000282 0105	0231	Y		CI					200507
GM67407	MAINZ FINTHEN		EDFZ	N	WGE	WGE	N49580815	49.968931	E008085401	8.148336	00760	D	E000317 0105	0231	Y		CI					200410
GM67415	ERFURT		EDDE	N	WGE	WGE	N50584732	50.979811	E010572918	10.958106	01036	A	E001199 0105	0231	Y		CI					200508
GM67687	HAMBURG FINKENWERDER		EDHI	N	WGE	WGE	N53320919	53.535886	E009501329	9.837025	00022	A	E000546 0105	0170			PV					200507
GM68318	MENGEN HOHENTENGEN		EDTM	N	WGE	WGE	N48031380	48.053833	E009222220	9.372833	01820	A	E000570 0105	0231	Y		CI					200412
GM68553	GRAFENWOHR AAF		ETIC	N	WGE	WGE	N49415813	49.699481	E011562838	11.941217	01363	C	E001373 0105	0231	Y		AA					200502
GM68886	NEUHARDENBERG		EDON	N	WGE	WGE	N52364680	52.613000	E014143360	14.242667	00035	D	E002191 0105	0169			PV					200410
GM68961	WERNEUCHEN		EDBW	N	WGE	WGE	N52375880	52.633000	E013460120	13.767000	00263	D	E002105 0105	0169			PV					200506
GM70124	NORDERNEY		EDWY	N	WGE	WGE	N53422456	53.706822	E007134889	7.230247	00006	D	W000002 0105	0170			CI					200505
GM70134	RENDSBURG SCHACHTHOLM		EDXR	N	WGE	WGE	N54131534	54.220928	E009360289	9.600803	00023	D	E000481 0105	0170	Y		CI					200507
