Grünstadt Quirnh		122.300				1.033 ft 					49,59  	8,13  	49	35	8	8	7	50
Günterode		122.200				1.191 ft 					51,41  	10,15  	51	24	34	10	8	51
Hagen Hof		122.725				1.280 ft 					51,31  	7,42  	51	18	24	7	25	18
Haiterbach Nagold		123.350				1.952 ft 					48,53  	8,68  	48	31	54	8	40	36
Hallertau		123.350				1.263 ft 					48,65  	11,60  	48	38	59	11	35	51
Halver Im Heede		123.350				1.371 ft 					51,17  	7,51  	51	10	26	7	30	42
Hangensteinerhof		123.150				968 ft 					48,92  	8,82  	48	55	15	8	49	25
Hartenstein		120.975				1.361 ft 					50,68  	12,68  	50	40	36	12	40	55
Hasselfelde		123.425				1.640 ft 					51,71  	10,86  	51	42	21	10	51	42
Hassloch Pfalz		123.500				354 ft 					49,36  	8,29  	49	21	22	8	17	30
Hayingen		123.500				2.323 ft 					48,29  	9,46  	48	17	16	9	27	41
Heilbronn Böckin		123.500				512 ft 					49,12  	9,18  	49	7	21	9	10	58
Heiligenberg		123.500				2.493 ft 					47,83  	9,30  	47	49	57	9	18	6
Hellenhagen		123.150				656 ft 					52,03  	9,57  	52	1	36	9	34	13
Hellingst		123.500				75 ft 					53,38  	8,85  	53	22	32	8	51	1
Hengsen Opherdick		123.450				410 ft 					51,47  	7,66  	51	28	27	7	39	18
Heppenheim  Lande		122.475				312 ft 					49,62  	8,62  	49	37	15	8	37	29
Hermuthausen		123.350	123.500			1.342 ft 					49,31  	9,74  	49	18	53	9	44	41
Hersbruck		123.350	123.500			1.109 ft 					49,51  	11,45  	49	30	26	11	27	0
Hessisch Lichtenau		123.500				1.345 ft 					51,19  	9,75  	51	11	26	9	44	56
Hienheim		123.500				1.312 ft 					48,88  	11,76  	48	52	40	11	45	45
Hilden Kesselweie		123.375				295 ft 					51,19  	6,97  	51	11	14	6	58	29
Hilzingen		123.375				1.486 ft 					47,76  	8,77  	47	45	37	8	46	3
Hirzenhain Nordwe		118.325				1.772 ft 					50,80  	8,38  	50	48	8	8	22	38
Hoffeld		123.500				1.549 ft 					48,42  	10,15  	48	25	17	10	9	6
Hoherodskopf		123.150				2.198 ft 					50,50  	9,22  	50	29	56	9	12	56
Holtorfsloh		123.350				164 ft 					53,32  	10,07  	53	19	20	10	4	27
Homberg Ohm		123.500				1.148 ft 					50,75  	9,02  	50	44	50	9	1	11
Höpen		122.475				239 ft 					53,15  	9,80  	53	8	51	9	47	46
Hörbach		130.125				1.083 ft 					50,67  	8,22  	50	40	14	8	13	22
Hornberg		122.025				2.215 ft 					48,75  	9,86  	48	44	44	9	51	46
Hoya		122.475				56 ft 					52,81  	9,16  	52	48	43	9	9	44
Huhnrain		133.425				1.378 ft 					50,49  	9,85  	50	29	24	9	50	42
Hülben		123.150				2.362 ft 					48,53  	9,40  	48	31	50	9	24	1
Hütten Hotzenwld		130.125				2.864 ft 					47,63  	7,94  	47	38	2	7	56	28
Illesheim Mil		122.100				1.078 ft 					49,47  	10,39  	49	28	26	10	23	19
Irsingen		122.475				1.526 ft 					49,04  	10,50  	49	2	19	10	30	12
Iserlohn Rheinerm		123.500				627 ft 					51,43  	7,64  	51	25	45	7	38	36
