PR_IDENT	ICAO	LEVEL	START_NAME	DEST_NAME	ACFT_TYPE	ACFT_SPEED	UPPER_ALT	LOWER_ALT	EFFE_TIME1	EFFE_TIME2	EFFE_TIME3	CYCLE_DATE	STRT_ICAO	DEST_ICAO
KZ00544	KZ	H	FORT LAUDERDALE METRO AREA	DALLAS/FORT WORTH					10000300			200503	KFLL	KDFW
KZ00547	KZ	H	FORT LAUDERDALE METRO AREA	DAYTONA BEACH					10300300			200503	KFLL	KDAB
KZ00548	KZ	H	FORT LAUDERDALE METRO AREA	DENVER					10300300			200503	KFLL	KDEN
KZ00550	KZ	H	FORT LAUDERDALE METRO AREA	DETROIT METRO-WAYNE CO					1000300			200503	KFLL	KDTW
KZ00551	KZ	H	FORT LAUDERDALE METRO AREA	DETROIT SATELLITES					10000300			200503	KFLL	KDTW
KZ00552	KZ	L	DETROIT METRO AREA	CLEVELAND			17000	6000				200503	KDTW	KCLE
KZ00553	KZ	L	DETROIT METRO AREA	COLUMBUS					11000300			200503	KDTW	KCMH
KZ00554	KZ	L	DETROIT METRO AREA	FORT WAYNE	P		17000	6000	11000300			200503	KDTW	KFWA
KZ00555	KZ	L	DETROIT METRO AREA	FORT WAYNE	J		17000	6000	11000300			200503	KDTW	KFWA
KZ00556	KZ	L	DETROIT METRO AREA	INDIANAPOLIS					11000300			200503	KDTW	KIND
KZ00557	KZ	L	DETROIT METRO AREA	MILWAUKEE			17000	6000	11000300			200503	KDTW	KMKE
KZ00558	KZ	L	DETROIT METRO AREA	MONTREAL			17000	6000	11000300			200503	KDTW	CYMX
KZ00559	KZ	L	DETROIT METRO AREA	PITTSBURGH			17000	6000	11000300			200503	KDTW	KPIT
KZ00560	KZ	L	DETROIT METRO AREA	ROCHESTER			17000	6000	11000300			200503	KDTW	KROC
KZ00561	KZ	L	DETROIT METRO AREA	SYRACUSE			17000	6000	11000300			200503	KDTW	KSYR
